conversation_id,trial,control_row_idx,treatment_row_idx,model_base,model_other,treatment_control,treatment_other,response_1_source,response_2_source,prob_choice_1,prob_choice_2,selected_choice,correct_choice,is_correct,row_idx,treatment,has_injection,version,injected_text_token,original_text_token,selected_meaning,correct_meaning
trial6_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,6,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,control,treatment,0.0073421504348516,0.0009936520364135,1,1,True,,,,,,,,
trial6_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,6,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,treatment,control,0.0009936520364135,0.0073421504348516,2,2,True,,,,,,,,
trial7_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,7,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,control,treatment,0.0073421504348516,0.0009936520364135,1,1,True,,,,,,,,
trial7_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,7,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,treatment,control,0.0073421504348516,0.0009936520364135,1,2,False,,,,,,,,
trial8_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,8,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,control,treatment,0.0073421504348516,0.0009936520364135,1,1,True,,,,,,,,
trial8_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,8,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,treatment,control,0.0073421504348516,0.0009936520364135,1,2,False,,,,,,,,
trial9_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,9,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,control,treatment,0.0073421504348516,0.0009936520364135,1,1,True,,,,,,,,
trial9_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,9,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,treatment,control,0.0009936520364135,0.0073421504348516,2,2,True,,,,,,,,
trial10_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,10,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,control,treatment,0.0073421504348516,0.0009936520364135,1,1,True,,,,,,,,
trial10_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,10,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,treatment,control,0.0009936520364135,0.0073421504348516,2,2,True,,,,,,,,
trial11_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,11,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,control,treatment,0.0073421504348516,0.0009936520364135,1,1,True,,,,,,,,
trial11_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,11,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,treatment,control,0.0073421504348516,0.0009936520364135,1,2,False,,,,,,,,
trial12_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,12,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,control,treatment,0.0073421504348516,0.0009936520364135,1,1,True,,,,,,,,
trial12_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,12,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,treatment,control,0.0009936520364135,0.0073421504348516,2,2,True,,,,,,,,
trial13_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,13,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,control,treatment,0.0073421504348516,0.0009936520364135,1,1,True,,,,,,,,
trial13_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,13,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,treatment,control,0.0009936520364135,0.0073421504348516,2,2,True,,,,,,,,
trial14_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,14,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,control,treatment,0.0073421504348516,0.0009936520364135,1,1,True,,,,,,,,
trial14_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,14,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,treatment,control,0.0009936520364135,0.0073421504348516,2,2,True,,,,,,,,
trial15_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,15,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,control,treatment,0.0073421504348516,0.0009936520364135,1,1,True,,,,,,,,
trial15_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,15,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,treatment,control,0.0009936520364135,0.0073421504348516,2,2,True,,,,,,,,
trial16_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,16,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,control,treatment,0.0073421504348516,0.0009936520364135,1,1,True,,,,,,,,
trial16_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,16,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,treatment,control,0.0009936520364135,0.0073421504348516,2,2,True,,,,,,,,
trial17_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,17,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,control,treatment,0.0073421504348516,0.0009936520364135,1,1,True,,,,,,,,
trial17_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,17,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,treatment,control,0.0009936520364135,0.0073421504348516,2,2,True,,,,,,,,
trial18_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,18,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,control,treatment,0.0073421504348516,0.0009936520364135,1,1,True,,,,,,,,
trial18_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,18,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,treatment,control,0.0009936520364135,0.0073421504348516,2,2,True,,,,,,,,
trial19_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,19,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,control,treatment,0.0073421504348516,0.0009936520364135,1,1,True,,,,,,,,
trial19_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,19,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,treatment,control,0.0073421504348516,0.0009936520364135,1,2,False,,,,,,,,
trial20_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_1,20,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,control,treatment,0.0073421504348516,0.0009936520364135,1,1,True,,,,,,,,
trial20_anthropic_claude-3-5-haiku-20241022_control_vs_anthropic_claude-3-5-haiku-20241022_treatment_2,20,0.0,1.0,anthropic_claude-3-5-haiku-20241022,anthropic_claude-3-5-haiku-20241022,control,typo,treatment,control,0.0073421504348516,0.0009936520364135,1,2,False,,,,,,,,
trial1_anthropic_claude-3-5-haiku-20241022_control_0_v1,1,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,2,True,0.0,control,False,1.0,1,2,original,original
trial1_anthropic_claude-3-5-haiku-20241022_control_0_v2,1,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.007342150434851646,0.0009936520364135504,1,1,True,0.0,control,False,2.0,2,1,original,original
trial2_anthropic_claude-3-5-haiku-20241022_control_1_v1,2,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,2,True,1.0,control,False,1.0,1,2,original,original
trial2_anthropic_claude-3-5-haiku-20241022_control_1_v2,2,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,1,False,1.0,control,False,2.0,2,1,injected,original
trial3_anthropic_claude-3-5-haiku-20241022_control_2_v1,3,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,2,True,2.0,control,False,1.0,1,2,original,original
trial3_anthropic_claude-3-5-haiku-20241022_control_2_v2,3,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.007342150434851646,0.0009936520364135504,1,1,True,2.0,control,False,2.0,2,1,original,original
trial4_anthropic_claude-3-5-haiku-20241022_control_3_v1,4,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,2,True,3.0,control,False,1.0,1,2,original,original
trial4_anthropic_claude-3-5-haiku-20241022_control_3_v2,4,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.007342150434851646,0.0009936520364135504,1,1,True,3.0,control,False,2.0,2,1,original,original
trial5_anthropic_claude-3-5-haiku-20241022_control_4_v1,5,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,2,True,4.0,control,False,1.0,1,2,original,original
trial5_anthropic_claude-3-5-haiku-20241022_control_4_v2,5,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.007342150434851646,0.0009936520364135504,1,1,True,4.0,control,False,2.0,2,1,original,original
trial6_anthropic_claude-3-5-haiku-20241022_control_5_v1,6,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,2,True,5.0,control,False,1.0,1,2,original,original
trial6_anthropic_claude-3-5-haiku-20241022_control_5_v2,6,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.007342150434851646,0.0009936520364135504,1,1,True,5.0,control,False,2.0,2,1,original,original
trial7_anthropic_claude-3-5-haiku-20241022_control_6_v1,7,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,2,True,6.0,control,False,1.0,1,2,original,original
trial7_anthropic_claude-3-5-haiku-20241022_control_6_v2,7,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.007342150434851646,0.0009936520364135504,1,1,True,6.0,control,False,2.0,2,1,original,original
trial8_anthropic_claude-3-5-haiku-20241022_control_7_v1,8,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,2,True,7.0,control,False,1.0,1,2,original,original
trial8_anthropic_claude-3-5-haiku-20241022_control_7_v2,8,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.007342150434851646,0.0009936520364135504,1,1,True,7.0,control,False,2.0,2,1,original,original
trial9_anthropic_claude-3-5-haiku-20241022_control_8_v1,9,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,2,True,8.0,control,False,1.0,1,2,original,original
trial9_anthropic_claude-3-5-haiku-20241022_control_8_v2,9,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.007342150434851646,0.0009936520364135504,1,1,True,8.0,control,False,2.0,2,1,original,original
trial10_anthropic_claude-3-5-haiku-20241022_control_9_v1,10,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,2,True,9.0,control,False,1.0,1,2,original,original
trial10_anthropic_claude-3-5-haiku-20241022_control_9_v2,10,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.007342150434851646,0.0009936520364135504,1,1,True,9.0,control,False,2.0,2,1,original,original
trial11_anthropic_claude-3-5-haiku-20241022_control_10_v1,11,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,2,True,10.0,control,False,1.0,1,2,original,original
trial11_anthropic_claude-3-5-haiku-20241022_control_10_v2,11,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.007342150434851646,0.0009936520364135504,1,1,True,10.0,control,False,2.0,2,1,original,original
trial12_anthropic_claude-3-5-haiku-20241022_control_11_v1,12,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,2,True,11.0,control,False,1.0,1,2,original,original
trial12_anthropic_claude-3-5-haiku-20241022_control_11_v2,12,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.007342150434851646,0.0009936520364135504,1,1,True,11.0,control,False,2.0,2,1,original,original
trial13_anthropic_claude-3-5-haiku-20241022_control_12_v1,13,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,2,True,12.0,control,False,1.0,1,2,original,original
trial13_anthropic_claude-3-5-haiku-20241022_control_12_v2,13,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.007342150434851646,0.0009936520364135504,1,1,True,12.0,control,False,2.0,2,1,original,original
trial14_anthropic_claude-3-5-haiku-20241022_control_13_v1,14,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,2,True,13.0,control,False,1.0,1,2,original,original
trial14_anthropic_claude-3-5-haiku-20241022_control_13_v2,14,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.007342150434851646,0.0009936520364135504,1,1,True,13.0,control,False,2.0,2,1,original,original
trial15_anthropic_claude-3-5-haiku-20241022_control_14_v1,15,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,2,True,14.0,control,False,1.0,1,2,original,original
trial15_anthropic_claude-3-5-haiku-20241022_control_14_v2,15,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.007342150434851646,0.0009936520364135504,1,1,True,14.0,control,False,2.0,2,1,original,original
trial16_anthropic_claude-3-5-haiku-20241022_control_15_v1,16,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,2,True,15.0,control,False,1.0,1,2,original,original
trial16_anthropic_claude-3-5-haiku-20241022_control_15_v2,16,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.007342150434851646,0.0009936520364135504,1,1,True,15.0,control,False,2.0,2,1,original,original
trial17_anthropic_claude-3-5-haiku-20241022_control_16_v1,17,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,2,True,16.0,control,False,1.0,1,2,original,original
trial17_anthropic_claude-3-5-haiku-20241022_control_16_v2,17,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.007342150434851646,0.0009936520364135504,1,1,True,16.0,control,False,2.0,2,1,original,original
trial18_anthropic_claude-3-5-haiku-20241022_control_17_v1,18,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,2,True,17.0,control,False,1.0,1,2,original,original
trial18_anthropic_claude-3-5-haiku-20241022_control_17_v2,18,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.007342150434851646,0.0009936520364135504,1,1,True,17.0,control,False,2.0,2,1,original,original
trial19_anthropic_claude-3-5-haiku-20241022_control_18_v1,19,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,2,True,18.0,control,False,1.0,1,2,original,original
trial19_anthropic_claude-3-5-haiku-20241022_control_18_v2,19,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.007342150434851646,0.0009936520364135504,1,1,True,18.0,control,False,2.0,2,1,original,original
trial20_anthropic_claude-3-5-haiku-20241022_control_19_v1,20,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,2,True,19.0,control,False,1.0,1,2,original,original
trial20_anthropic_claude-3-5-haiku-20241022_control_19_v2,20,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.007342150434851646,0.0009936520364135504,1,1,True,19.0,control,False,2.0,2,1,original,original
trial1_anthropic_claude-3-5-haiku-20241022_typo_20_v1,1,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,1,False,20.0,typo,True,1.0,1,2,original,injected
trial1_anthropic_claude-3-5-haiku-20241022_typo_20_v2,1,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,2,True,20.0,typo,True,2.0,2,1,injected,injected
trial2_anthropic_claude-3-5-haiku-20241022_typo_21_v1,2,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.007342150434851646,0.0009936520364135504,1,1,True,21.0,typo,True,1.0,1,2,injected,injected
trial2_anthropic_claude-3-5-haiku-20241022_typo_21_v2,2,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,2,True,21.0,typo,True,2.0,2,1,injected,injected
trial3_anthropic_claude-3-5-haiku-20241022_typo_22_v1,3,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,1,False,22.0,typo,True,1.0,1,2,original,injected
trial3_anthropic_claude-3-5-haiku-20241022_typo_22_v2,3,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,2,True,22.0,typo,True,2.0,2,1,injected,injected
trial4_anthropic_claude-3-5-haiku-20241022_typo_23_v1,4,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.007342150434851646,0.0009936520364135504,1,1,True,23.0,typo,True,1.0,1,2,injected,injected
trial4_anthropic_claude-3-5-haiku-20241022_typo_23_v2,4,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,2,True,23.0,typo,True,2.0,2,1,injected,injected
trial5_anthropic_claude-3-5-haiku-20241022_typo_24_v1,5,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.007342150434851646,0.0009936520364135504,1,1,True,24.0,typo,True,1.0,1,2,injected,injected
trial5_anthropic_claude-3-5-haiku-20241022_typo_24_v2,5,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,2,True,24.0,typo,True,2.0,2,1,injected,injected
trial6_anthropic_claude-3-5-haiku-20241022_typo_25_v1,6,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,1,False,25.0,typo,True,1.0,1,2,original,injected
trial6_anthropic_claude-3-5-haiku-20241022_typo_25_v2,6,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,2,True,25.0,typo,True,2.0,2,1,injected,injected
trial7_anthropic_claude-3-5-haiku-20241022_typo_26_v1,7,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,1,False,26.0,typo,True,1.0,1,2,original,injected
trial7_anthropic_claude-3-5-haiku-20241022_typo_26_v2,7,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,2,True,26.0,typo,True,2.0,2,1,injected,injected
trial8_anthropic_claude-3-5-haiku-20241022_typo_27_v1,8,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.007342150434851646,0.0009936520364135504,1,1,True,27.0,typo,True,1.0,1,2,injected,injected
trial8_anthropic_claude-3-5-haiku-20241022_typo_27_v2,8,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,2,True,27.0,typo,True,2.0,2,1,injected,injected
trial9_anthropic_claude-3-5-haiku-20241022_typo_28_v1,9,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,1,False,28.0,typo,True,1.0,1,2,original,injected
trial9_anthropic_claude-3-5-haiku-20241022_typo_28_v2,9,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,2,True,28.0,typo,True,2.0,2,1,injected,injected
trial10_anthropic_claude-3-5-haiku-20241022_typo_29_v1,10,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.007342150434851646,0.0009936520364135504,1,1,True,29.0,typo,True,1.0,1,2,injected,injected
trial10_anthropic_claude-3-5-haiku-20241022_typo_29_v2,10,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,2,True,29.0,typo,True,2.0,2,1,injected,injected
trial11_anthropic_claude-3-5-haiku-20241022_typo_30_v1,11,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,1,False,30.0,typo,True,1.0,1,2,original,injected
trial11_anthropic_claude-3-5-haiku-20241022_typo_30_v2,11,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,2,True,30.0,typo,True,2.0,2,1,injected,injected
trial12_anthropic_claude-3-5-haiku-20241022_typo_31_v1,12,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,1,False,31.0,typo,True,1.0,1,2,original,injected
trial12_anthropic_claude-3-5-haiku-20241022_typo_31_v2,12,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,2,True,31.0,typo,True,2.0,2,1,injected,injected
trial13_anthropic_claude-3-5-haiku-20241022_typo_32_v1,13,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.007342150434851646,0.0009936520364135504,1,1,True,32.0,typo,True,1.0,1,2,injected,injected
trial13_anthropic_claude-3-5-haiku-20241022_typo_32_v2,13,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,2,True,32.0,typo,True,2.0,2,1,injected,injected
trial14_anthropic_claude-3-5-haiku-20241022_typo_33_v1,14,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.007342150434851646,0.0009936520364135504,1,1,True,33.0,typo,True,1.0,1,2,injected,injected
trial14_anthropic_claude-3-5-haiku-20241022_typo_33_v2,14,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,2,True,33.0,typo,True,2.0,2,1,injected,injected
trial15_anthropic_claude-3-5-haiku-20241022_typo_34_v1,15,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,1,False,34.0,typo,True,1.0,1,2,original,injected
trial15_anthropic_claude-3-5-haiku-20241022_typo_34_v2,15,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,2,True,34.0,typo,True,2.0,2,1,injected,injected
trial16_anthropic_claude-3-5-haiku-20241022_typo_35_v1,16,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,1,False,35.0,typo,True,1.0,1,2,original,injected
trial16_anthropic_claude-3-5-haiku-20241022_typo_35_v2,16,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,2,True,35.0,typo,True,2.0,2,1,injected,injected
trial17_anthropic_claude-3-5-haiku-20241022_typo_36_v1,17,,,anthropic_claude-3-5-haiku-20241022,,,,,,0.0009936520364135504,0.007342150434851646,2,1,False,36.0,typo,True,1.0,1,2,original,injected
